TAG number,Equipment Description
14-30-181 (VFD) DC (YARA SPARE),COMPACTION FEED BIN SCREW CONVEYOR ANTICAKING SYSTEM #181 (VFD) DC
14-30-190,DUST SCREW CONVEYOR #190
14-30-191,NEW DUST SCREW AT BUCKET ELEVATOR #20 OUTLET CHUTE
14-30-192,NEW DUST SCREW UNDER GRANULAR BIN
14-30-200M,Fresh feed KCL fines/dust screw feeder main drive
14-30-200VFD,Fresh feed KCL fines/dust screw feeder main drive
14-30-201,Integrated screw conveyor below BAG HOUSE 1 #201
14-30-202,Integrated screw conveyor below BAG HOUSE 1 #202
14-30-203,Integrated screw conveyor below BAG HOUSE 1 #203
14-30-204,Integrated screw conveyor below BAG HOUSE 1 #204
14-30-210,Screw conveyor (Gathering below BAG HOUSE 1) #210
14-30-220,SCREW CONVEYOR (GATHERING BELOW BAG HOUSE 1) #220
14-30-290,Screw conveyor below cyclone hopper #01
14-30-301,Integrated screw conveyor below BAG HOUSE 2 #301
14-30-302,Integrated screw conveyor below BAG HOUSE 2 #302
14-30-303,Integrated screw conveyor below BAG HOUSE 2 #303
14-30-304,Integrated screw conveyor below BAG HOUSE 2 #304
14-30-310,Screw conveyor (Gathering below BAG HOUSE 2) #310
14-30-320,Screw conveyor (Gathering below BAG HOUSE 2) #320
14-30-403,COOLER SCREW TO STANDARD BIN
14-30-450,SCREW CONVEYOR MO3 / SCREEN
14-30-460,SCREW CONVEYOR MO4 / COMPACTION
14-30-470,SCREW ( MO3)/ WAREHOUSE
14-31-010-01,BUCKET ELEVATOR #10
14-31-010-02,BUCKET ELEVATOR #10 / MAINTENANCE
14-31-020,DUST BUCKET ELEVATOR #20
14-31-060-01,COOLER BUCKET ELEVATOR MAIN MOTOR
14-31-060-02,COOLER BUCKET ELEVATOR MAINTENANCE MOTOR
14-31-070M,Fresh feed KCL fines/dust bucket elevator main drive
14-33-021-01,STRORAGE PAN FEEDER #21
14-33-021-02,STRORAGE PAN FEEDER #21
14-33-022-01,STRORAGE PAN FEEDER #22
14-33-022-02,STRORAGE PAN FEEDER #22
14-33-023-01,STRORAGE PAN FEEDER #23
14-33-023-02,STRORAGE PAN FEEDER #23
14-33-024-01,STRORAGE PAN FEEDER #24
14-33-024-02,STRORAGE PAN FEEDER #24
14-33-025-01,STRORAGE PAN FEEDER #25
14-33-025-02,STRORAGE PAN FEEDER #25
14-33-026-01,STRORAGE PAN FEEDER #26
14-33-026-02,STRORAGE PAN FEEDER #26
14-33-027-01,STRORAGE PAN FEEDER #27
14-33-027-02,STRORAGE PAN FEEDER #27
14-33-028-01,STRORAGE PAN FEEDER #28
14-33-028-02,STRORAGE PAN FEEDER #28
14-36-020-01,Isolating damper ID fan 20  inlet/ electromechanical #01
14-36-020-02,Isolating damper ID Fan 20 outlet/ electromechanical #01
14-36-021-01,Isolating damper ID fan 21 inlet/ electromechanical #02
14-36-021-02,Isolating damper ID Fan 21 outlet/ electromechanical #02
14-36-201,WATER DILUTION TANK DAMPER
14-36-211,BAG HOUSE 1 Filter inlet DUMPER #211
14-36-301,WATER DILUTION TANK DAMPER
14-36-311,BAG HOUSE 2 Filter inlet DUMPER #311
14-36-410,Cyclone inlet damper #410
14-36-510,Cyclone inlet damper #510
14-36-720,DIVERTER #720
14-36-730,DIVERTER #730
14-36-740,DIVERTER #740
14-54-201,Rotary valve below filter SCREW 201 trough #201
14-54-202,Rotary valve below filter SCREW 202 trough #202
14-54-203,Rotary valve below filter SCREW 203 trough #203
14-54-204,Rotary valve below filter SCREW 204 trough #204
14-54-301,Rotary valve below filter SCREW 301 trough #301
14-54-302,Rotary valve below filter SCREW 302 trough #302
14-54-303,Rotary valve below filter SCREW 303 trough #303
14-54-304,Rotary valve below filter SCREW 304 trough #304
14-54-400 (VFD),COOLER PRODUCT OUTLET ROTARY VALVE #400
14-54-410,Rotary valves below cyclones hopper #410
14-54-501,ROTARY AIR LOCK VALVE (BCYCLON)
14-54-502,ROTARY AIR LOCK VALVE (NEW COOLER BAGFILTER) #502
14-54-510,Rotary valves below cyclones hopper #510
14-54-650,ROTARY VALVE (MO6)/ COMPACTION 
14-54-660,ROTARY VALVE  (MO4)/ WAREHOUSE
14-54-670,ROTARY VALVE (MO8) / SHIPPING
14-54-680,ROTARY VALVE (MO5)/SCREEN
14-75-800 M,DIVERTER UNIT
